building_location,building_price_hkd_mean
Lai Yan Court,464.8484848484849
Botania Villa,464.79432624113474
Tsui Chuk Garden,464.51295336787564
Greenknoll Court,464.48936170212767
Sheung Shui Centre,463.1439393939394
Fanling Centre,462.9667774086379
Elegance Garden,460.2888888888889
King Tin Court,460.2857142857143
Ching Tai Court,459.6694214876033
Fung Ting Court,459.44444444444446
Kam Hay Court,459.4029850746269
Fu Ning Garden,458.9274193548387
Tai Po Centre,457.1579831932773
Noble Place,456.972602739726
Richland Gardens,456.1174004192872
Hong Nga Court,456.1011235955056
Shun Chi Court,455.7291666666667
Beverly Garden,455.64830508474574
Kam Ying Court,454.6157205240175
Hamden Court,454.10714285714283
Hing Bong Mansion,453.09090909090907
Healthy Village,452.9259259259259
Hong Lam Court,452.91764705882355
King Nga Court,452.09090909090907
Hong Sing Garden,451.4766355140187
Parkland Villas,451.33419023136247
Ching Nga Court,451.02777777777777
Lung Fung Garden,449.96774193548384
Cheung Wo Court,449.6847826086956
Kingswood Villas,448.4386443319049
Yue Fai Court,448.39669421487605
Tai Po Plaza,448.1162790697674
Yuet Lai Court,448.05128205128204
The Prominence,447.6
Lakeside Garden,447.23809523809524
Sun Hing Garden,446.2
Hong Ying Court,445.4347826086956
Yuk Ming Court,445.2719298245614
Kam Fung Court,444.19710144927535
Flora Plaza,441.8778947368421
Tung Hei Court,441.37373737373736
Harmony Garden,440.2083333333333
Choi Fung Court,438.88
King Shan Court,438.04587155963304
Allway Gardens,437.72704714640196
Clague Garden Estate,436.93975903614455
The Sherwood,436.8523622047244
Tong Ming Court,434.25
Yee Nga Court,433.925
Ching Lai Court,432.31538461538463
Full Scene Garden,431.0121951219512
Kwai Sing Centre,430.8169014084507
King Ming Court,430.45454545454544
Sun Tuen Mun Centre,430.2676767676768
Fanling Town Center,429.9399141630901
Kent Place,429.61538461538464
Lok Nga Court,428.2962962962963
Mayfair Gardens,428.1195652173913
Glory Rise,427.6666666666667
Ho Ming Court,425.8378378378378
Avon Park,425.0817843866171
Verbena Heights,423.68939393939394
Shaukiwan Centre,423.4512195121951
Chung Ming Court,423.05357142857144
Sheungshui Town Center,422.8878504672897
Kai Tai Court,422.85714285714283
Court Regence,422.5
Tai Hing Gardens,421.8421985815603
Tung Chun Court,421.811320754717
Eightland Gardens,421.801652892562
Kwun Hei Court,421.59090909090907
Kam Lung Court,421.4835164835165
Parkview Court,420.3255813953488
Tuen Mun Town Plaza,418.6407322654462
Kwai Chun Court,418.1
Tsz On Court,416.1666666666667
Urbana 38,414.3
Chevalier Garden,413.9488372093023
Kwai Yin Court,413.0689655172414
Kwong Ming Court,413.0141509433962
Saddle Ridge Garden,412.9771689497717
Wo Ming Court,412.3918918918919
Trend Plaza,412.3653136531365
Fortune Plaza,412.18260869565216
Tin Ma Court,411.8059071729958
Fullview Garden,411.112
The Met. Focus,410.94545454545454
Yee Fung Garden,410.1044776119403
Shan Tsui Court,409.8085106382979
Kwong Lam Court,409.7913043478261
Greenery Plaza,409.5978260869565
Deep Bay Grove,409.5625
Kai Tsui Court,407.94594594594594
Tak Bo Garden,406.8333333333333
Lung Tak Court,406.64044943820227
Hiu Lai Court,406.3404255319149
Cheerful Garden,406.14606741573033
Sui Wo Court,404.2772727272727
New Town Mansion,403.6551724137931
Richland Garden,403.64285714285717
Mei Chung Court,401.40425531914894
Kam Wah Garden,400.36893203883494
May Shing Court,400.36
Marble Place,400.15384615384613
Ming Nga Court,398.3699421965318
Hong Wah Court,398.34722222222223
Hung Fuk Court,396.90909090909093
Greenland Garden,396.45108695652175
Po Nga Court,394.3669724770642
Ying Fuk Court,393.64285714285717
Kellet Court,393.36842105263156
Tsui Yiu Court,392.75
Garden Rivera,392.3641160949868
Shatinpark,391.728
Tsuen Wan Centre,391.0970982142857
Cheong Shing Court,390.8076923076923
Yat Nga Court,390.5223880597015
Ching Wah Court,388.6436170212766
Tin Oi Court,386.3090909090909
Golden Lion Garden,385.28209764918626
Yu Tung Court,384.3233082706767
Park Haven,382.32142857142856
Chi Lok Fa Yuen,381.3781512605042
Siu Hong Court,380.28930817610063
Tsui Lai Garden,380.26605504587155
Chun Wah Court,378.8
Tsui Ning Garden,378.5232558139535
Fung Shing Court,376.98445595854923
Tsuen Tak Gardens,376.9793388429752
Shing Fat Building,375.77777777777777
Chung Nga Court,375.61224489795916
Jade Plaza,375.1774193548387
Siu On Court,373.7972972972973
Yuet Wu Villa,373.71065989847716
Kingston Terrace,373.4404761904762
Tin Shing Court,373.1067961165049
Affluence Garden,371.7415730337079
Kwun Fai Court,371.3157894736842
Winner Mansion,370.36842105263156
Po Sing Centre,367.4512195121951
The Verdancy,366.84375
Goodview Garden,366.03418803418805
San Wai Court,364.9795918367347
Sunningdale Garden,363.27272727272725
Ka Shing Court,363.05454545454546
Fu Tor Loy Sun Chuen,362.61176470588236
Wang Fuk Court,362.37
Choi Po Court,358.6363636363636
Siu Shan Court,357.23870967741937
Yuk Po Court,355.67692307692306
Hoi Tak Gardens,349.6951219512195
Hoi Shing Building,349.23809523809524
Greenwood Garden,347.7151162790698
Siu Hei Court,347.4294117647059
King Shing Court,345.0625
Prime View Garden,343.43243243243245
Tung Shing Court,343.25
Siu Hin Court,341.9230769230769
Cosmopolitan Estate,341.56410256410254
Siu Lun Court,340.67836257309943
Tin Fu Court,339.2586206896552
Lung Mun Oasis,339.1136363636364
Wing Fai Centre,338.7169811320755
Siu Kwai Court,337.93506493506493
Po Ming Court,336.8709677419355
Siu Lung Court,336.5
Glorious Garden,334.8831168831169
Tung Yik Building,334.1333333333333
Tin Chung Court,333.3026706231454
Tak Nga Court,328.3095238095238
Hin Ming Court,327.6938775510204
Wing Fok Centre,323.3766233766234
Yan Shing Court,318.8
On Shing Court,316.1212121212121
Tin Yau Court,311.29787234042556
Yung Shing Court,305.78846153846155
Kar Wah Building,295.0833333333333
Hin Keng Estate,292.5079365079365
Hong Fu Building,288.0
Yiu On Estate,286.1506849315069
Lower Wong Tai Sin (1) Estate,279.75324675324674
King Lam Estate,276.85185185185185
Po Lam Estate,270.89285714285717
Kwong Yuen Estate,268.30882352941177
Tin Lai Court,268.14
Tsui Lam Estate,267.719298245614
Tung Tau (Ii) Estate,263.29347826086956
Wah Kwai Estate,263.1666666666667
Fung Tak Estate,263.01418439716315
